Step number	Time	VolQplus_planeLVOT	VolQminus_planeLVOT	VolQplus_planeOutflow	VolQminus_planeOutflow	dt	exp_dt	max_velocity	max_pressure
166	0.0928066	0	450430	53355.1	526138	0.000729639	3.8403e-06	12527.8	0.010327
167	0.0935747	0	450356	52875	527876	0.00076806	3.73197e-06	3493.12	0.0101659
168	0.0943211	0	450313	52247.8	529211	0.000746395	1.4924e-05	3462.52	0.010024
169	0.0953211	0	450725	50903.6	529321	0.001	1.5133e-05	3979.68	0.00985543
170	0.0963211	0	451553	48601.1	528344	0.001	1.21766e-05	4769.67	0.00963658
171	0.0973211	0	453608	46405.5	526846	0.001	1.00496e-05	8814.19	0.00937204
172	0.0983211	0	456322	43891.6	524522	0.001	5.34482e-06	21905.2	0.00898519
173	0.0986544	0	459856	42681.2	523075	0.000333333	2.26329e-06	12681.2	0.00736052
174	0.0993211	0	461573	42060.1	522165	0.000666667	3.97905e-06	3483.41	0.00627006
175	0.100117	0	465338	41549.7	520885	0.000795811	1.52024e-05	3644.93	0.00590314
176	0.101117	0	470334	41526.2	519752	0.001	1.53559e-05	4564.43	0.00575378
177	0.102117	0	477214	42131.3	518951	0.001	1.11589e-05	10730.7	0.00567407
178	0.103117	0	484439	43634.3	519140	0.001	4.7635e-06	13567.1	0.0056612
179	0.103593	0	492476	45666.2	520237	0.00047635	3.72377e-06	9357.33	0.00571183
180	0.10407	0	496246	46944.1	521022	0.00047635	6.88728e-06	9019.75	0.00571991
181	0.10507	0	499640	47925.6	521545	0.001	6.01007e-06	37914.8	0.00574444
182	0.105308	0	508155	49539	522484	0.000237973	1.18986e-06	6539.43	0.00639858
183	0.10607	0	509275	49466.4	522755	0.000762027	6.96122e-06	19615.1	0.00661466
184	0.10657	0	515185	49675.6	523390	0.0005	3.34426e-06	19141.3	0.00739747
185	0.10707	0	518928	49236.2	523426	0.0005	3.55908e-06	15197.7	0.00791518
186	0.107781	0	522031	48189.1	523166	0.000711816	3.34907e-06	40242.3	0.00823033
187	0.108005	0	526915	46790.2	522917	0.000223271	1.20306e-06	7864.74	0.00916068
188	0.108451	0	527836	45999	522753	0.000446543	8.08477e-06	9803.38	0.00913379
189	0.109451	0	529002	44343.9	522468	0.001	4.9961e-06	50380.3	0.00909667
190	0.109632	0	532855	42005	523233	0.000180474	9.02369e-07	11629.4	0.0103393
191	0.11045	0	532820	41446.1	523465	0.000818746	6.76493e-06	40192.8	0.0104667
192	0.11095	0	534593	39487.2	524781	0.0005	2.42852e-06	23389.5	0.0105377
193	0.11145	0	535187	39154.6	526795	0.0005	3.9512e-06	18523.4	0.0106602
194	0.111846	0	535538	39137.2	529239	0.00039512	3.30224e-06	14085.2	0.0102918
195	0.112241	0	535561	39351.1	531444	0.00039512	3.3278e-06	12580	0.0102395
196	0.112906	0	535218	39621.8	533975	0.000665561	3.69189e-06	19080.6	0.0100776
197	0.113275	0	534600	40535.3	538748	0.000369189	2.47803e-06	12408.5	0.00980446
198	0.113645	0	534039	41366.2	541712	0.000369189	3.70538e-06	16277.3	0.00956435
199	0.114015	0	533354	42446.4	545006	0.000370538	2.89234e-06	14750.3	0.0093842
200	0.114386	0	532557	43507.8	548396	0.000370538	3.13299e-06	16735.6	0.00973692
201	0.115012	0	531575	44484.4	551925	0.000626599	2.79872e-06	27998.5	0.0100276
202	0.115292	0	529928	45708.9	557182	0.000279872	1.66968e-06	9173	0.0111377
203	0.115572	0	529134	46196.8	559412	0.000279872	5.07282e-06	4739.88	0.0113363
204	0.116572	0	528175	46361.2	561791	0.001	1.00614e-05	21588.6	0.0113391
205	0.116905	0	525109	47540.4	568862	0.000333333	2.25567e-06	21615.8	0.0111237
206	0.117239	0	524018	47547	570899	0.000333333	2.30436e-06	27946.8	0.00988727
207	0.117572	0	522927	47545	572901	0.000333333	1.82663e-06	11340.2	0.00802308
208	0.117937	0	521895	47349	574717	0.000365325	4.58416e-06	3608.25	0.007943
209	0.118854	0	521013	46853.9	576680	0.000916833	1.49807e-05	3573.82	0.00784595
